FILE ROOT,FILE NAME,DURATION,SPEAKERS,SESSION START TIME,DATE,TRANSCRIPT #,PAGE #s (from transcript),TRANSCRIPT TITLE,PROQUEST,HATHI
,EKAV0123_02.wav,00:32:09,"John J. Lucas; Ray Jenkins; Joseph N. Welch; Karl Mundt; Everett McKinley Dirksen, John L. McClellan",2:30 PM,"April 23, 1954",4,143-150,"Testimony of John J. Lucas, part 1",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f1$2ff$2fe$2f6$2fhrg-1954-ops-0004_from_1_to_37.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0004,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0124,EKAV0124_01.wav,00:31:39,John J. Lucas; Ray Jenkins; Joseph McCarthy; Joseph N. Welch; Karl Mundt; Everett McKinley Dirksen; Charles E. Potter; John L. McClellan; Henry M. Jackson; Stuart Symington,2:30 PM,"April 23, 1954",4,150-160,"Testimony of John J. Lucas, part 2",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f1$2ff$2fe$2f6$2fhrg-1954-ops-0004_from_1_to_37.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0004,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0124_02.wav,00:32:08,John J. Lucas; Ray Jenkins; Joseph McCarthy; Joseph N. Welch; Karl Mundt; John L. McClellan; Henry M. Jackson; Stuart Symington,2:30 PM,"April 23, 1954",4,160-170,"Testimony of John J. Lucas, part 3",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f1$2ff$2fe$2f6$2fhrg-1954-ops-0004_from_1_to_37.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0004,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0125,EKAV0125_01.wav,00:17:52,Karl Mundt; Henry M. Jackson; John L. McClellan; Joseph McCarthy; Joseph N. Welch; Ray Jenkins; Francis P. Carr; Roy M. Cohn; Charles E. Potter; Everett McKinley Dirksen; Stuart Symington; Henry Dworshak,2:30 PM,"April 23, 1954",4,170-175,"Testimony of John J. Lucas, part 4",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f1$2ff$2fe$2f6$2fhrg-1954-ops-0004_from_1_to_37.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0004,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0126,EKAV0126_01.wav,00:26:42,Robert T. Stevens; Ray Jenkins; Joseph McCarthy; Karl Mundt,10:30 AM,"April 26, 1954",5,185-193,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 5",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f3$2f7$2f3$2f8$2fhrg-1954-ops-0005_from_1_to_39.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0005,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0126_02.wav,00:26:42,Robert T. Stevens; Ray Jenkins; Karl Mundt,10:30 AM,"April 26, 1954",5,193-203,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 6",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f3$2f7$2f3$2f8$2fhrg-1954-ops-0005_from_1_to_39.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0005,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0127,EKAV0127_01.wav,00:26:53,Robert T. Stevens; Ray Jenkins; Joseph McCarthy; Karl Mundt; John L. McClellan; Henry M. Jackson; Stuart Symington,10:30 AM,"April 26, 1954",5,203-211,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 7",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f3$2f7$2f3$2f8$2fhrg-1954-ops-0005_from_1_to_39.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0005,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0127_02.wav,00:26:41,Robert T. Stevens; Ray Jenkins; Joseph N. Welch; Karl Mundt; James D. St. Clair,2:40 PM,"April 26, 1954",6,214-223,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 8",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f7$2fe$2f7$2fd$2fhrg-1954-ops-0006_from_1_to_46.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0006,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0128,EKAV0128_01.wav,00:27:19,Robert T. Stevens; Ray Jenkins; Joseph McCarthy; Karl Mundt; Everett McKinley Dirksen; John L. McClellan; Henry M. Jackson,2:40 PM,"April 26, 1954",6,223-232,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 9",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f7$2fe$2f7$2fd$2fhrg-1954-ops-0006_from_1_to_46.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0006,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0128_02.wav,00:31:02,"Robert T. Stevens; Ray Jenkins; Joseph McCarthy; Joseph N. Welch; Karl Mundt; James D. St. Clair;  Charles E. Potter, Henry C. Dworshak, John L. McClellan; Henry M. Jackson; Stuart Symington; Roy M. Cohn",2:40 PM,"April 26, 1954",6,232-242,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 10",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f7$2fe$2f7$2fd$2fhrg-1954-ops-0006_from_1_to_46.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0006,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0129,EKAV0129_01.wav,00:31:17,Robert T. Stevens; Ray Jenkins; Joseph McCarthy; Karl Mundt; Everett McKinley Dirksen; John L. McClellan,2:40 PM,"April 26, 1954",6,242-252,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 11",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f7$2fe$2f7$2fd$2fhrg-1954-ops-0006_from_1_to_46.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0006,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0129_02.wav,00:08:11,Robert T. Stevens; Karl Mundt; Everett McKinley Dirksen,2:40 PM,"April 26, 1954",6,252-254,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 12",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f7$2fe$2f7$2fd$2fhrg-1954-ops-0006_from_1_to_46.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0006,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0130,EKAV0130_01.wav,00:31:10,Robert T. Stevens; Ray Jenkins; Joseph McCarthy; Karl Mundt; Charles E. Potter; John L. McClellan; Henry M. Jackson; Stuart Symington,10:30 AM,"April 27, 1954",7,263-270,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 13",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fc$2f1$2f5$2fe$2fhrg-1954-ops-0007_from_1_to_56.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0007,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0130_02.wav,00:32:47,Robert T. Stevens; Ray Jenkins; Joseph McCarthy; Roy M. Cohn; Karl Mundt; Charles E. Potter; Henry C. Dworshak; John L. McClellan; Henry M. Jackson,10:30 AM,"April 27, 1954",7,270-283,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 14",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fc$2f1$2f5$2fe$2fhrg-1954-ops-0007_from_1_to_56.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0007,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0131,EKAV0131_01.wav,00:32:38,Robert T. Stevens; Ray Jenkins; Joseph McCarthy; Roy M. Cohn; Karl Mundt; Charles E. Potter; Henry C. Dworshak; John L. McClellan; Henry M. Jackson; Stuart Symington,10:30 AM,"April 27, 1954",7,282-293,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 15",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fc$2f1$2f5$2fe$2fhrg-1954-ops-0007_from_1_to_56.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0007,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0131_02.wav,00:33:24,"Robert T. Stevens; Ray Jenkins; Joseph McCarthy; Roy M. Cohn; Joseph N. Welch; Karl Mundt; Everett McKinley Dirksen; Henry C. Dworshak, John L. McClellan; Henry M. Jackson; Stuart Symington",10:30 AM,"April 27, 1954",7/8,293-317,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 16",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fc$2f1$2f5$2fe$2fhrg-1954-ops-0007_from_1_to_56.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0007,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0132,EKAV0132_01.wav,00:32:21,"Robert T. Stevens; Joseph McCarthy; Joseph N. Welch; Karl Mundt; Charles E. Potter, Henry C. Dworshak; Henry M. Jackson; Stuart Symington",2:40 PM,"April 27, 1954",8,317-325,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 17",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fe$2f2$2fd$2fd$2fhrg-1954-ops-0008_from_1_to_38.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0008,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0132_02.wav,00:31:02,"Robert T. Stevens; Ray Jenkins; Joseph McCarthy; Joseph N. Welch; Karl Mundt; Charles E. Potter; Henry C. Dworshak, John L. McClellan; Henry M. Jackson",2:40 PM,"April 27, 1954",8,325-335,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 18",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fe$2f2$2fd$2fd$2fhrg-1954-ops-0008_from_1_to_38.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0008,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0133,EKAV0133_01.wav,00:32:19,Robert T. Stevens; Karl E. Mundt; Charles E. Potter; Henry C. Dworshak; Henry M. Jackson; Stuart Symington; Ray H. Jenkins; Joseph R. McCarthy; Joseph N. Welch,10:45 AM,"April 28, 1954",9,341-352,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 19",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f3$2f6$2ff$2fe$2fhrg-1954-ops-0009_from_1_to_38.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0009,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0133_02.wav,00:31:51,Robert T. Stevens; Karl E. Mundt; Charles E. Potter; John L. McClellan; Henry M. Jackson; Stuart Symington; Ray H. Jenkins; Joseph R. McCarthy; Joseph N. Welch,10:45 AM,"April 28, 1954",9,352-361,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 20",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f3$2f6$2ff$2fe$2fhrg-1954-ops-0009_from_1_to_38.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0009,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0134,EKAV0134_01.wav,00:25:34,Robert T. Stevens; Karl E. Mundt; Charles E. Potter; John L. McClellan; Ray H. Jenkins; Joseph R. McCarthy; Joseph N. Welch,10:45 AM,"April 28, 1954",9,361-368,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 21",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f3$2f6$2ff$2fe$2fhrg-1954-ops-0009_from_1_to_38.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0009,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0134_02.wav,00:33:24,"Ray H. Jenkins; John J. Lucas, Jr.; Henry M. Jackson; Joseph N. Welch; Roy M. Cohn; Karl E. Mundt; John L. McClellan; Everett McKinley Dirksen; Charles E. Potter; Stuart Symington; Thomas R. Prewitt; Joseph McCarthy",2:30 PM,"April 28, 1954",10,370-379,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 22",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fd$2f8$2f0$2f5$2fhrg-1954-ops-0010_from_1_to_52.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0010,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0135,EKAV0135_01.wav,00:32:25,Robert T. Stevens; Karl E. Mundt; Charles E. Potter; Henry C. Dworshak; Stuart Symington; Joseph R. McCarthy; Joseph N. Welch,2:30 PM,"April 28, 1954",10,379-389,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 23",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fd$2f8$2f0$2f5$2fhrg-1954-ops-0010_from_1_to_52.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0010,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0135_02.wav,00:32:13,Robert T. Stevens; Karl E. Mundt; Everett McKinley Dirksen; Charles E. Potter; Henry C. Dworshak; John L. McClellan; Stuart Symington; Ray H. Jenkins; Joseph R. McCarthy; Joseph N. Welch; Hensel,2:30 PM,"April 28, 1954",10,390-398,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 24",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fd$2f8$2f0$2f5$2fhrg-1954-ops-0010_from_1_to_52.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0010,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0136,EKAV0136_01.wav,00:32:13,Robert T. Stevens; Karl E. Mundt; Everett McKinley Dirksen; Charles E. Potter; Henry C. Dworshak; John L. McClellan; Stuart Symington; Ray H. Jenkins; Joseph R. McCarthy; Joseph N. Welch; James D. St. Clair,2:30 PM,"April 28, 1954",10,398-407,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 25",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fd$2f8$2f0$2f5$2fhrg-1954-ops-0010_from_1_to_52.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0010,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0136_02.wav,00:19:50,Robert T. Stevens; Karl E. Mundt; John L. McClellan; Henry M. Jackson; Stuart Symington; Ray H. Jenkins; Joseph R. McCarthy; Joseph N. Welch,2:30 PM,"April 28, 1954",10,407-413,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 26",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fd$2f8$2f0$2f5$2fhrg-1954-ops-0010_from_1_to_52.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0010,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0137,EKAV0137_01.wav,00:33:09,Robert T. Stevens; Karl E. Mundt; John L. McClellan; Henry M. Jackson; Stuart Symington; Ray H. Jenkins; Joseph N. Welch,10:45 AM,"April 29, 1954",11,420-430,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 27",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fa$2fe$2f0$2ff$2fhrg-1954-ops-0011_from_1_to_37.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0011,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0137_02.wav,00:32:52,Robert T. Stevens; Karl E. Mundt; Everett McKinley Dirksen; Charles E. Potter; Henry C. Dworshak; John L. McClellan; Stuart Symington; Ray H. Jenkins; Joseph R. McCarthy; Joseph N. Welch,10:45 AM,"April 29, 1954",11,430-437,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 28",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fa$2fe$2f0$2ff$2fhrg-1954-ops-0011_from_1_to_37.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0011,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0138,EKAV0138_01.wav,00:25:37,Robert T. Stevens; Karl E. Mundt; Everett McKinley Dirksen; Charles E. Potter; Stuart Symington; Ray H. Jenkins; Joseph R. McCarthy; John L. McClellan,10:45 AM,"April 29, 1954",11,437-445,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 29",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fa$2fe$2f0$2ff$2fhrg-1954-ops-0011_from_1_to_37.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0011,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0138_02.wav,00:32:13,G. David Schine; Karl E. Mundt; John L. McClellan; Henry M. Jackson; Stuart Symington; Ray H. Jenkins; Joseph R. McCarthy; Joseph N. Welch,2:40 PM,"April 29, 1954",12,447-453,"Testimony of Pvt. G. David Schine, part 1",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f7$2fa$2f0$2fc$2fhrg-1954-ops-0012_from_1_to_49.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0012,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0139,EKAV0139_01.wav,00:23:18,G. David Schine; Karl E. Mundt; Everett McKinley Dirksen; Charles E. Potter; John L. McClellan; Henry M. Jackson; Stuart Symington; Ray H. Jenkins; Joseph R. McCarthy; Joseph N. Welch,2:40 PM,"April 29, 1954",12,453-459,"Testimony of Pvt. G. David Schine, part 2",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f7$2fa$2f0$2fc$2fhrg-1954-ops-0012_from_1_to_49.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0012,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0139_02.wav,00:32:26,G. David Schine; Karl E. Mundt; Charles E. Potter; Ray H. Jenkins; Joseph R. McCarthy; Joseph N. Welch,2:40 PM,"April 29, 1954",12,459-467,"Testimony of Pvt. G. David Schine, part 3",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f7$2fa$2f0$2fc$2fhrg-1954-ops-0012_from_1_to_49.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0012,https://hdl.handle.net/2027/umn.31951d02135387b
